YEAR,JOURNAL,TITLE,DOI
2017,Behavioral Ecology and Sociobiology,The effects of urbanization and human disturbance on problem solving in juvenile house finches (Haemorhous mexicanus),10.1007/s00265-017-2304-6
2017,Landscape and Urban Planning,Legacy effects and landscape choices in a desert city,10.1016/j.landurbplan.2017.04.014
2017,Restoration Ecology,Water quality implications of hydrologic restoration alternatives in the Florida Everglades United States,10.1111/rec.12513
2017,Ecosphere,Boom-bust economics and vegetation dynamics in a desert city: How strong is the link?,10.1002/ecs2.1826
2017,Landscape and Urban Planning,"Optimizing green space locations to reduce daytime and nighttime urban heat island effects in Phoenix, Arizona",10.1016/j.landurbplan.2017.04.009
2018,Landscape and Urban Planning,"Waterbird community composition, abundance, and diversity along an urban gradient",10.1016/j.landurbplan.2017.11.003
2018,Global Change Biology,Global change‐driven effects on dissolved organic matter composition: Implications for food webs of northern lakes,10.1111/gcb.14129
2018,Behavioral Ecology,Expression of and choice for condition-dependent carotenoid-based color in an urbanizing context,10.1093/beheco/ary093
2018,Molecular Ecology,Urbanization as a facilitator of gene flow in a human health pest,10.1111/mec.14783
2018,Global Change Biology,A review of urban impacts on avian life‐history evolution: Does city living lead to slower pace of life?,10.1111/gcb.13969
2018,Landscape and Urban Planning,Avian anthrophobia? Behavioral and physiological responses of house finches (Haemorhous mexicanus) to human and predator threats across an urban gradient,10.1016/j.landurbplan.2018.07.001
1983,Ecology,The influence of neighboring hosts on colonization of prairie milkweeds by a seed-feeding bug,10.2307/1937184
1984,Oikos,Fire as a natural disturbance to grasshopper assemblages of tallgrass prairie,10.2307/3544239
1984,Journal of Wildlife Management,Preferences and influence of paired food items on energy intake of American robins and gray catbirds,10.2307/3808471
1984,American Midland Naturalist,Nitrogen and phosphorus resorption dynamics of five tree species in a Kansas gallery forest,10.2307/2425554
1984,American Midland Naturalist,Belowground macroarthropods of annually burned and unburned tallgrass prairie,10.2307/2425336
1985,American Midland Naturalist,Fire history of oak gallery forests in a northeast Kansas tallgrass prairie,10.2307/2425255
1985,Ecology,Autumnal resorption and accretion of trace metals in gallery forest trees,10.2307/1941329
1985,Ecology,Effect of fire and drought on the ecophysiology of Andropogon gerardii and Panicum virgatum in a tallgrass prairie,10.2307/1939184
1986,Ecology,Nitrogen mineralization by native and introduced earthworms: effects on big bluestem growth,10.2307/1939833
1986,American Midland Naturalist,Litterfall dynamics and element use efficiency in a Kansas gallery forest,10.2307/2425950
1986,American Midland Naturalist,Leaf litter processing and the associated invertebrate fauna in a tallgrass prairie stream,10.2307/2425939
1987,American Midland Naturalist,Effect of topographic position and fire on species composition in tallgrass prairie in northeast Kansas,10.2307/2425988
1987,American Naturalist,The distribution and abundance of tallgrass prairie plants: a test of the core-satellite hypothesis,10.1086/284695
1987,American Midland Naturalist,Changes in soluble nutrients of prairie riparian vegetation during decomposition on a floodplain,10.2307/2425704
1988,American Midland Naturalist,Long-distance movements by Reithrodontomys megalotis in tallgrass prairie,10.2307/2425999
1988,Oikos,Community dynamics of prairie grasshoppers subjected to periodic fire: predictable trajectories or random walks in time?,10.2307/3565201
1988,American Midland Naturalist,Hydrologic influences on leaf decomposition in a channel and adjacent bank of a gallery forest stream,10.2307/2425882
1988,Landscape Ecology,"Linking knowledge among spatial and temporal scales: Vegetation, atmosphere, climate and remote sensing",10.1007/BF00138905
1988,Ecology,Causes of fire effects in tallgrass prairie,10.2307/1943159
1988,Ecology,The postfire environment and earthworm populations in tallgrass prairie,10.2307/1940446
1988,Oikos,"Maximization of densities of soil animals by foliage herbivory: empirical evidence, graphical and conceptual models",10.2307/3565649
1989,Ecography,Comparative analysis of temporal and spatial variability in aboveground production in a deciduous forest and prairie,10.1111/j.1600-0587.1989.tb00831.x
1989,Ecology,Interspecific interactions among phytophagous insects of tallgrass prairie: an experimental test,10.2307/1937548
1989,American Midland Naturalist,Effects of animal disturbance on tallgrass prairie vegetation,10.2307/2425665
1989,American Midland Naturalist,Feeding ecology of some earthworms in Kansas tallgrass prairie,10.2307/2425658
1990,Conservation Biology,Lands for long-term research in conservation biology,10.1111/j.1523-1739.1990.tb00292.x
1990,American Naturalist,A hierarchical analysis of species abundance patterns in grassland vegetation,10.1086/285066
1990,Oikos,Patch structure in tallgrass prairies: dynamics of satellite species,10.2307/3565944
1990,American Midland Naturalist,Influence of plant litter on patch use by foraging Peromyscus maniculatus and Reithrodontomys megalotis,10.2307/2426095
1990,Functional Ecology,Influence of plant size on the carbon and water relations of Cucurbita foetidissima HBK,10.2307/2389445
1990,Ecology,Patterns and controls of nitrogen in tallgrass prairie streams,10.2307/1937609
1991,Ecology,Importance of spatial and temporal dynamics in species regional abundance and distribution,10.2307/2937205
1991,Ecology,"Soil, nitrogen, phosphorus, and organic matter processing by earthworms in tallgrass prairie",10.2307/1941562
1991,Ecological Modelling,Stochastic analysis of the dynamics of nitrogen concentration in a stream ecosystem,10.1016/0304-3800(91)90191-3
1991,Ecology,Physiological interactions along resource gradients in a tallgrass prairie,10.2307/2937207
1992,Ecology,Fire frequency and community heterogeneity in tallgrass prairie vegetation,10.2307/1941450
1992,Ecology,Absence of interspecific competition among tallgrass prairie grasshoppers during a drought,10.2307/1940178
1992,Oikos,Effects of scale and disturbance on rates of immigration and extinction of species in prairies,10.2307/3545388
1993,Journal of Vegetation Science,Mechanisms and processes in vegetation dynamics: Introduction,10.1111/j.1654-1103.1993.tb01885.x
1993,Journal of Vegetation Science,The hierarchical continuum concept,10.2307/3236099
1993,Journal of Applied Ecology,Management practices in tallgrass prairie: Large- and small-scale experimental effects on species composition,10.2307/2404626
1993,Journal of Vegetation Science,Experimental analysis of patch dynamics in tallgrass prairie plant communities,10.2307/3236100
1993,Ecology,Denitrification in a tallgrass prairie landscape,10.2307/1940811
1993,Ecological Applications,Biomass production in a tallgrass prairie ecosystem exposed to ambient and elevated CO2,10.2307/1942097
1993,American Naturalist,Consequences of non-equilibrium resource availability across multiple time scales: the transient maxima hypothesis,10.1086/285494
1993,Ecological Applications,"Maximization of aboveground grassland production: the role of defoliation frequency, intensity and history",10.2307/1941800
1994,American Midland Naturalist,Mycorrhizal dependence of Andropogon gerardii and Schizachyrium scoparium in two prairie soils,10.2307/2426592
1994,Trends in Ecology and Evolution,Experimental manipulation of natural plant communities,10.1016/0169-5347(94)90203-8
1994,Ecology,Drought-induced nitrogen retranslocation in perennial C4 grasses of tallgrass prairie,10.2307/1941592
1995,Landscape Ecology,Landscape-level interactions between topoedaphic features and nitrogen limitation in tallgrass prairie,10.1007/BF00130211
1995,Trends in Ecology &amp; Evolution,The measurement of stability in grasslands,10.1016/S0169-5347(00)88998-3
1995,Ecology,Experimental analysis of intermediate disturbance and initial floristic composition: decoupling cause and effect,10.2307/1941207
1995,Ecological Modelling,Simulation of responses of community structure to species interactions driven by phenotypic change,10.1016/0304-3800(94)00030-L
1995,Ecological Modelling,Spatial model error analysis using autocorrelation indices,10.1016/0304-3800(94)00074-R
1995,American Midland Naturalist,Use of simulated herbaceous canopy by foraging rodents,10.2307/2426395
1995,American Midland Naturalist,Temporal variation in abundance of Peromyscus leucopus in wooded habitats of eastern Kansas,10.2307/2426343
1995,Journal of Biogeography,Regional climatic similarities in the temperate zones of North and South America,
1995,Ecology,Effects of urine deposition on small-scale patch structure in prairie vegetation,10.2307/1940926
1995,Ecography,"Elemental analysis of mineral lick soils from the Serengeti National Park, the Konza Prairie and Yellowstone National Park",10.1111/j.1600-0587.1995.tb00122.x
1996,Ecological Modelling,The effect of density dependence on community structure,10.1016/0304-3800(95)00209-X
1996,Freshwater Biology,"The ecology of a subterranean isopod, Caecidotea tridentata",10.1046/j.1365-2427.1996.00497.x
1996,Ecology,Plant tolerance of gall-insect attack and gall-insect performance,10.2307/2265627
1996,Functional Ecology,Retranslocation of shoot nitrogen to rhizomes and roots in prairie grasses may limit loss of N to grazing and fire during drought,10.2307/2390289
1996,Conservation Biology,Interference competition from House wrens as a factor in the decline of Bewick's wrens,10.1046/j.1523-1739.1996.10010281.x
1996,Landscape Ecology,"Forest spread and phase transitions at forest-prairie ecotones in Kansas, U.S.A",10.1007/BF02071813
1996,Oikos,Trophic interactions and plant species richness along a productivity gradient,10.2307/3546357
1997,New Zealand Journal of Ecology,Spatiotemporal scales of non-equilibrium community dynamics: a methodological challenge,
1997,Ecology,"Fire, N availability and plant response in grasslands: A test of the transient maxima hypothesis",10.1890/0012-9658(1997)078[2359:FNAAPR]2.0.CO;2
1997,Ecological Applications,Effects of organismal and distance scaling on analysis of species distribution and abundance,10.1890/1051-0761(1997)007[0543:EOOADS]2.0.CO;2
1997,Oikos,"Interspecific interactions: constructing a general, neutral model for interaction type",10.2307/3546305
1997,Oikos,"Gradient models, gradient analysis and hierarchical structure in plant communities",10.2307/3545796
1997,Southwestern Naturalist,A case of senescence for the white-footed mouse?,
1997,Microbial Ecology,Influence of protozoa and nutrient availability on nitrification rates in subsurface sediments,10.1007/s002489900045
1997,Ecology,"Soil N and plant responses to fire, topography and supplemental N in tallgrass prairie",10.1890/0012-9658(1997)078[1832:SNAPRT]2.0.CO;2
1997,Ecological Applications,Detecting fire and grazing patterns in tallgrass prairie using spectral mixture analysis,10.1890/1051-0761(1997)007[0493:DFAGPI]2.0.CO;2
1999,Pedobiologia,Influence of differing land management on the invasion of North American tallgrass prairie soils by European earthworms,
1999,Acta Oecologica,Does a tradeoff exist between morphological and physiological root plasticity? A comparison of grass growth forms,10.1016/S1146-609X(00)86619-9
1999,American Midland Naturalist,The effects of bison crossings on the macroinvertebrate community in a tallgrass prairie stream,10.1674/0003-0031(1999)141[0253:TEOBCO]2.0.CO;2
1999,Journal of Ecology,Designs for greenhouse studies of interactions between plants,10.1046/j.1365-2745.1999.00321.x
1999,Journal of Ecology,"The core-satellite species hypothesis provides a theoretical basis for Grimes classification of dominant subordinate, and transient species",10.1046/j.1365-2745.1999.00424.x
1999,Ecology,Mycorrhizae influence plant community structure and diversity in tallgrass prairie,10.1890/0012-9658(1999)080[1187:MIPCSA]2.0.CO;2
